Simulator Started for experiment: stage0_baseline on cpu
Episode 71/200 | Reward: -8013.00 | Avg Loss: 12.6299 | Epsilon: 0.701
Episode 72/200 | Reward: -7709.00 | Avg Loss: 11.3434 | Epsilon: 0.697
Episode 73/200 | Reward: -8391.00 | Avg Loss: 11.2483 | Epsilon: 0.694
Episode 74/200 | Reward: -8295.00 | Avg Loss: 11.0015 | Epsilon: 0.690
Episode 75/200 | Reward: -7208.00 | Avg Loss: 11.1082 | Epsilon: 0.687
Episode 76/200 | Reward: -7742.00 | Avg Loss: 10.7915 | Epsilon: 0.683
Episode 77/200 | Reward: -6955.00 | Avg Loss: 10.8386 | Epsilon: 0.680
Episode 78/200 | Reward: -8579.00 | Avg Loss: 10.7879 | Epsilon: 0.676
Episode 79/200 | Reward: -6931.00 | Avg Loss: 10.9761 | Epsilon: 0.673
Episode 80/200 | Reward: -8002.00 | Avg Loss: 11.1240 | Epsilon: 0.670
Episode 81/200 | Reward: -7395.00 | Avg Loss: 12.3741 | Epsilon: 0.666
Episode 82/200 | Reward: -7850.00 | Avg Loss: 11.1421 | Epsilon: 0.663
Episode 83/200 | Reward: -7494.00 | Avg Loss: 10.6778 | Epsilon: 0.660
Episode 84/200 | Reward: -8001.00 | Avg Loss: 10.7606 | Epsilon: 0.656
Episode 85/200 | Reward: -7814.00 | Avg Loss: 10.8570 | Epsilon: 0.653
Episode 86/200 | Reward: -7862.00 | Avg Loss: 10.6725 | Epsilon: 0.650
Episode 87/200 | Reward: -7415.00 | Avg Loss: 10.8991 | Epsilon: 0.647
Episode 88/200 | Reward: -7922.00 | Avg Loss: 10.8201 | Epsilon: 0.643
Episode 89/200 | Reward: -6890.00 | Avg Loss: 10.6542 | Epsilon: 0.640
Episode 90/200 | Reward: -8839.00 | Avg Loss: 10.4754 | Epsilon: 0.637
Episode 91/200 | Reward: -8121.00 | Avg Loss: 11.6531 | Epsilon: 0.634
Episode 92/200 | Reward: -7944.00 | Avg Loss: 10.4896 | Epsilon: 0.631
Episode 93/200 | Reward: -7296.00 | Avg Loss: 10.5098 | Epsilon: 0.627
Episode 94/200 | Reward: -7855.00 | Avg Loss: 10.2959 | Epsilon: 0.624
Episode 95/200 | Reward: -6899.00 | Avg Loss: 10.3762 | Epsilon: 0.621
Episode 96/200 | Reward: -7005.00 | Avg Loss: 10.4853 | Epsilon: 0.618
Episode 97/200 | Reward: -7839.00 | Avg Loss: 10.1330 | Epsilon: 0.615
Episode 98/200 | Reward: -7303.00 | Avg Loss: 10.2658 | Epsilon: 0.612
Episode 99/200 | Reward: -6920.00 | Avg Loss: 10.1572 | Epsilon: 0.609
Episode 100/200 | Reward: -7549.00 | Avg Loss: 10.0836 | Epsilon: 0.606
Episode 101/200 | Reward: -7708.00 | Avg Loss: 11.6596 | Epsilon: 0.603
Episode 102/200 | Reward: -8071.00 | Avg Loss: 10.3589 | Epsilon: 0.600
Episode 103/200 | Reward: -7572.00 | Avg Loss: 10.4912 | Epsilon: 0.597
Episode 104/200 | Reward: -7960.00 | Avg Loss: 10.4978 | Epsilon: 0.594
Episode 105/200 | Reward: -7194.00 | Avg Loss: 10.2361 | Epsilon: 0.591
Episode 106/200 | Reward: -6873.00 | Avg Loss: 10.1313 | Epsilon: 0.588
Episode 107/200 | Reward: -6825.00 | Avg Loss: 10.0758 | Epsilon: 0.585
Episode 108/200 | Reward: -7415.00 | Avg Loss: 10.3347 | Epsilon: 0.582
Episode 109/200 | Reward: -6888.00 | Avg Loss: 10.2987 | Epsilon: 0.579
Episode 110/200 | Reward: -7657.00 | Avg Loss: 10.1568 | Epsilon: 0.576
Episode 111/200 | Reward: -7771.00 | Avg Loss: 11.8440 | Epsilon: 0.573
Episode 112/200 | Reward: -7205.00 | Avg Loss: 10.6341 | Epsilon: 0.570
Episode 113/200 | Reward: -6664.00 | Avg Loss: 10.5064 | Epsilon: 0.568
Episode 114/200 | Reward: -7405.00 | Avg Loss: 10.7742 | Epsilon: 0.565
Episode 115/200 | Reward: -6898.00 | Avg Loss: 10.2345 | Epsilon: 0.562
Episode 116/200 | Reward: -7166.00 | Avg Loss: 10.4660 | Epsilon: 0.559
Episode 117/200 | Reward: -6462.00 | Avg Loss: 10.6791 | Epsilon: 0.556
Episode 118/200 | Reward: -8136.00 | Avg Loss: 10.3997 | Epsilon: 0.554
Episode 119/200 | Reward: -7049.00 | Avg Loss: 10.4006 | Epsilon: 0.551
Episode 120/200 | Reward: -6766.00 | Avg Loss: 10.4239 | Epsilon: 0.548
Episode 121/200 | Reward: -7004.00 | Avg Loss: 12.0291 | Epsilon: 0.545
Episode 122/200 | Reward: -6601.00 | Avg Loss: 10.9734 | Epsilon: 0.543
Episode 123/200 | Reward: -7973.00 | Avg Loss: 10.9284 | Epsilon: 0.540
Episode 124/200 | Reward: -7261.00 | Avg Loss: 10.7530 | Epsilon: 0.537
Episode 125/200 | Reward: -7384.00 | Avg Loss: 10.7291 | Epsilon: 0.534
Episode 126/200 | Reward: -6579.00 | Avg Loss: 10.7498 | Epsilon: 0.532
Episode 127/200 | Reward: -6554.00 | Avg Loss: 10.7258 | Epsilon: 0.529
Episode 128/200 | Reward: -6969.00 | Avg Loss: 10.7604 | Epsilon: 0.526
Episode 129/200 | Reward: -6542.00 | Avg Loss: 10.9390 | Epsilon: 0.524
Episode 130/200 | Reward: -6927.00 | Avg Loss: 10.8909 | Epsilon: 0.521
Episode 131/200 | Reward: -7248.00 | Avg Loss: 12.2523 | Epsilon: 0.519
Episode 132/200 | Reward: -7418.00 | Avg Loss: 11.3961 | Epsilon: 0.516
Episode 133/200 | Reward: -7311.00 | Avg Loss: 11.4449 | Epsilon: 0.513
Episode 134/200 | Reward: -6480.00 | Avg Loss: 11.3759 | Epsilon: 0.511
Episode 135/200 | Reward: -6832.00 | Avg Loss: 10.9691 | Epsilon: 0.508
Episode 136/200 | Reward: -6421.00 | Avg Loss: 11.2136 | Epsilon: 0.506
Episode 137/200 | Reward: -7222.00 | Avg Loss: 11.3142 | Epsilon: 0.503
Episode 138/200 | Reward: -6239.00 | Avg Loss: 11.1450 | Epsilon: 0.501
Episode 139/200 | Reward: -6623.00 | Avg Loss: 11.1351 | Epsilon: 0.498
Episode 140/200 | Reward: -6780.00 | Avg Loss: 11.3268 | Epsilon: 0.496
Episode 141/200 | Reward: -6074.00 | Avg Loss: 12.3290 | Epsilon: 0.493
Episode 142/200 | Reward: -7474.00 | Avg Loss: 11.3886 | Epsilon: 0.491
Episode 143/200 | Reward: -6860.00 | Avg Loss: 11.5425 | Epsilon: 0.488
Episode 144/200 | Reward: -6902.00 | Avg Loss: 11.3305 | Epsilon: 0.486
