Simulator Started for experiment: stage7_total_chaos on cpu
Episode 71/200 | Reward: -6379.00 | Avg Loss: 16.0526 | Epsilon: 0.701
Episode 72/200 | Reward: -5826.00 | Avg Loss: 15.1299 | Epsilon: 0.697
Episode 73/200 | Reward: -7146.00 | Avg Loss: 15.2585 | Epsilon: 0.694
Episode 74/200 | Reward: -5985.00 | Avg Loss: 15.0060 | Epsilon: 0.690
Episode 75/200 | Reward: -5560.00 | Avg Loss: 15.1196 | Epsilon: 0.687
Episode 76/200 | Reward: -5785.00 | Avg Loss: 15.0745 | Epsilon: 0.683
Episode 77/200 | Reward: -7057.00 | Avg Loss: 15.1319 | Epsilon: 0.680
Episode 78/200 | Reward: -6560.00 | Avg Loss: 14.8734 | Epsilon: 0.676
Episode 79/200 | Reward: -5565.00 | Avg Loss: 14.9330 | Epsilon: 0.673
Episode 80/200 | Reward: -5823.00 | Avg Loss: 15.1379 | Epsilon: 0.670
Episode 81/200 | Reward: -5747.00 | Avg Loss: 16.2640 | Epsilon: 0.666
Episode 82/200 | Reward: -6244.00 | Avg Loss: 15.4642 | Epsilon: 0.663
Episode 83/200 | Reward: -6186.00 | Avg Loss: 15.2976 | Epsilon: 0.660
Episode 84/200 | Reward: -6834.00 | Avg Loss: 15.1447 | Epsilon: 0.656
Episode 85/200 | Reward: -6364.00 | Avg Loss: 15.3224 | Epsilon: 0.653
Episode 86/200 | Reward: -6779.00 | Avg Loss: 15.2410 | Epsilon: 0.650
Episode 87/200 | Reward: -5688.00 | Avg Loss: 15.1387 | Epsilon: 0.647
Episode 88/200 | Reward: -7775.00 | Avg Loss: 15.3661 | Epsilon: 0.643
Episode 89/200 | Reward: -6124.00 | Avg Loss: 15.7625 | Epsilon: 0.640
Episode 90/200 | Reward: -6832.00 | Avg Loss: 15.1926 | Epsilon: 0.637
Episode 91/200 | Reward: -7052.00 | Avg Loss: 16.4277 | Epsilon: 0.634
Episode 92/200 | Reward: -6430.00 | Avg Loss: 15.8720 | Epsilon: 0.631
Episode 93/200 | Reward: -5810.00 | Avg Loss: 16.0600 | Epsilon: 0.627
Episode 94/200 | Reward: -5793.00 | Avg Loss: 16.1070 | Epsilon: 0.624
Episode 95/200 | Reward: -5792.00 | Avg Loss: 16.0571 | Epsilon: 0.621
Episode 96/200 | Reward: -6666.00 | Avg Loss: 15.9995 | Epsilon: 0.618
Episode 97/200 | Reward: -5605.00 | Avg Loss: 15.9401 | Epsilon: 0.615
Episode 98/200 | Reward: -5934.00 | Avg Loss: 16.1667 | Epsilon: 0.612
Episode 99/200 | Reward: -5789.00 | Avg Loss: 16.0125 | Epsilon: 0.609
Episode 100/200 | Reward: -6409.00 | Avg Loss: 16.0164 | Epsilon: 0.606
Episode 101/200 | Reward: -5851.00 | Avg Loss: 16.8475 | Epsilon: 0.603
Episode 102/200 | Reward: -6462.00 | Avg Loss: 16.1932 | Epsilon: 0.600
Episode 103/200 | Reward: -6676.00 | Avg Loss: 16.4602 | Epsilon: 0.597
Episode 104/200 | Reward: -6223.00 | Avg Loss: 16.2327 | Epsilon: 0.594
Episode 105/200 | Reward: -6149.00 | Avg Loss: 16.2578 | Epsilon: 0.591
Episode 106/200 | Reward: -5824.00 | Avg Loss: 15.9717 | Epsilon: 0.588
Episode 107/200 | Reward: -6729.00 | Avg Loss: 15.5832 | Epsilon: 0.585
Episode 108/200 | Reward: -5813.00 | Avg Loss: 16.1274 | Epsilon: 0.582
Episode 109/200 | Reward: -6432.00 | Avg Loss: 16.1197 | Epsilon: 0.579
Episode 110/200 | Reward: -5841.00 | Avg Loss: 15.9294 | Epsilon: 0.576
Episode 111/200 | Reward: -5633.00 | Avg Loss: 16.7068 | Epsilon: 0.573
Episode 112/200 | Reward: -5106.00 | Avg Loss: 16.6403 | Epsilon: 0.570
Episode 113/200 | Reward: -7462.00 | Avg Loss: 16.3747 | Epsilon: 0.568
Episode 114/200 | Reward: -5753.00 | Avg Loss: 16.0364 | Epsilon: 0.565
Episode 115/200 | Reward: -5312.00 | Avg Loss: 15.8266 | Epsilon: 0.562
Episode 116/200 | Reward: -5114.00 | Avg Loss: 16.1155 | Epsilon: 0.559
Episode 117/200 | Reward: -5115.00 | Avg Loss: 16.5586 | Epsilon: 0.556
Episode 118/200 | Reward: -6437.00 | Avg Loss: 16.2579 | Epsilon: 0.554
Episode 119/200 | Reward: -5840.00 | Avg Loss: 16.4892 | Epsilon: 0.551
Episode 120/200 | Reward: -5623.00 | Avg Loss: 16.2580 | Epsilon: 0.548
Episode 121/200 | Reward: -5709.00 | Avg Loss: 17.3081 | Epsilon: 0.545
Episode 122/200 | Reward: -5918.00 | Avg Loss: 16.4541 | Epsilon: 0.543
Episode 123/200 | Reward: -5233.00 | Avg Loss: 16.8286 | Epsilon: 0.540
Episode 124/200 | Reward: -5756.00 | Avg Loss: 16.9066 | Epsilon: 0.537
Episode 125/200 | Reward: -5000.00 | Avg Loss: 16.2640 | Epsilon: 0.534
Episode 126/200 | Reward: -5388.00 | Avg Loss: 16.2454 | Epsilon: 0.532
Episode 127/200 | Reward: -5734.00 | Avg Loss: 16.4466 | Epsilon: 0.529
Episode 128/200 | Reward: -5116.00 | Avg Loss: 16.6367 | Epsilon: 0.526
Episode 129/200 | Reward: -5307.00 | Avg Loss: 15.8979 | Epsilon: 0.524
Episode 130/200 | Reward: -6154.00 | Avg Loss: 16.3407 | Epsilon: 0.521
Episode 131/200 | Reward: -5198.00 | Avg Loss: 16.8404 | Epsilon: 0.519
Episode 132/200 | Reward: -5938.00 | Avg Loss: 16.4290 | Epsilon: 0.516
