Simulator Started for experiment: stage4_unbalanced_flows on cpu
Episode 71/200 | Reward: -5835.00 | Avg Loss: 12.7225 | Epsilon: 0.701
Episode 72/200 | Reward: -4987.00 | Avg Loss: 12.1961 | Epsilon: 0.697
Episode 73/200 | Reward: -5589.00 | Avg Loss: 12.0492 | Epsilon: 0.694
Episode 74/200 | Reward: -6153.00 | Avg Loss: 12.0029 | Epsilon: 0.690
Episode 75/200 | Reward: -6027.00 | Avg Loss: 12.0967 | Epsilon: 0.687
Episode 76/200 | Reward: -4832.00 | Avg Loss: 11.8413 | Epsilon: 0.683
Episode 77/200 | Reward: -4849.00 | Avg Loss: 11.9892 | Epsilon: 0.680
Episode 78/200 | Reward: -5732.00 | Avg Loss: 11.8834 | Epsilon: 0.676
Episode 79/200 | Reward: -5798.00 | Avg Loss: 12.0131 | Epsilon: 0.673
Episode 80/200 | Reward: -6029.00 | Avg Loss: 11.9067 | Epsilon: 0.670
Episode 81/200 | Reward: -4891.00 | Avg Loss: 13.3732 | Epsilon: 0.666
Episode 82/200 | Reward: -5285.00 | Avg Loss: 12.8593 | Epsilon: 0.663
Episode 83/200 | Reward: -4889.00 | Avg Loss: 12.7239 | Epsilon: 0.660
Episode 84/200 | Reward: -5721.00 | Avg Loss: 12.8974 | Epsilon: 0.656
Episode 85/200 | Reward: -5267.00 | Avg Loss: 12.8079 | Epsilon: 0.653
Episode 86/200 | Reward: -5452.00 | Avg Loss: 12.8428 | Epsilon: 0.650
Episode 87/200 | Reward: -6288.00 | Avg Loss: 12.6461 | Epsilon: 0.647
Episode 88/200 | Reward: -5861.00 | Avg Loss: 12.4864 | Epsilon: 0.643
Episode 89/200 | Reward: -5736.00 | Avg Loss: 12.4090 | Epsilon: 0.640
Episode 90/200 | Reward: -5415.00 | Avg Loss: 12.6292 | Epsilon: 0.637
Episode 91/200 | Reward: -5151.00 | Avg Loss: 14.1987 | Epsilon: 0.634
Episode 92/200 | Reward: -5355.00 | Avg Loss: 13.5213 | Epsilon: 0.631
Episode 93/200 | Reward: -5725.00 | Avg Loss: 13.4192 | Epsilon: 0.627
Episode 94/200 | Reward: -4704.00 | Avg Loss: 13.3320 | Epsilon: 0.624
Episode 95/200 | Reward: -5384.00 | Avg Loss: 13.4275 | Epsilon: 0.621
Episode 96/200 | Reward: -5656.00 | Avg Loss: 13.4083 | Epsilon: 0.618
Episode 97/200 | Reward: -5571.00 | Avg Loss: 13.3035 | Epsilon: 0.615
Episode 98/200 | Reward: -5898.00 | Avg Loss: 13.3651 | Epsilon: 0.612
Episode 99/200 | Reward: -5230.00 | Avg Loss: 13.2668 | Epsilon: 0.609
Episode 100/200 | Reward: -5642.00 | Avg Loss: 13.2881 | Epsilon: 0.606
Episode 101/200 | Reward: -5147.00 | Avg Loss: 14.3999 | Epsilon: 0.603
Episode 102/200 | Reward: -5168.00 | Avg Loss: 14.1359 | Epsilon: 0.600
Episode 103/200 | Reward: -5376.00 | Avg Loss: 13.8760 | Epsilon: 0.597
Episode 104/200 | Reward: -5511.00 | Avg Loss: 13.8168 | Epsilon: 0.594
Episode 105/200 | Reward: -5420.00 | Avg Loss: 13.7281 | Epsilon: 0.591
Episode 106/200 | Reward: -5290.00 | Avg Loss: 13.8751 | Epsilon: 0.588
Episode 107/200 | Reward: -4955.00 | Avg Loss: 13.8425 | Epsilon: 0.585
Episode 108/200 | Reward: -5130.00 | Avg Loss: 13.8798 | Epsilon: 0.582
Episode 109/200 | Reward: -5273.00 | Avg Loss: 14.0094 | Epsilon: 0.579
Episode 110/200 | Reward: -5621.00 | Avg Loss: 13.9938 | Epsilon: 0.576
Episode 111/200 | Reward: -5364.00 | Avg Loss: 14.4363 | Epsilon: 0.573
Episode 112/200 | Reward: -4977.00 | Avg Loss: 14.2381 | Epsilon: 0.570
Episode 113/200 | Reward: -5324.00 | Avg Loss: 14.0715 | Epsilon: 0.568
Episode 114/200 | Reward: -5254.00 | Avg Loss: 14.1114 | Epsilon: 0.565
Episode 115/200 | Reward: -6292.00 | Avg Loss: 13.8005 | Epsilon: 0.562
Episode 116/200 | Reward: -6011.00 | Avg Loss: 13.9351 | Epsilon: 0.559
Episode 117/200 | Reward: -5149.00 | Avg Loss: 13.7298 | Epsilon: 0.556
Episode 118/200 | Reward: -4700.00 | Avg Loss: 13.9663 | Epsilon: 0.554
Episode 119/200 | Reward: -4730.00 | Avg Loss: 13.8257 | Epsilon: 0.551
Episode 120/200 | Reward: -5342.00 | Avg Loss: 13.5780 | Epsilon: 0.548
Episode 121/200 | Reward: -4753.00 | Avg Loss: 14.5905 | Epsilon: 0.545
Episode 122/200 | Reward: -5666.00 | Avg Loss: 14.1691 | Epsilon: 0.543
Episode 123/200 | Reward: -4970.00 | Avg Loss: 14.0277 | Epsilon: 0.540
Episode 124/200 | Reward: -5391.00 | Avg Loss: 14.1079 | Epsilon: 0.537
Episode 125/200 | Reward: -5138.00 | Avg Loss: 14.1057 | Epsilon: 0.534
Episode 126/200 | Reward: -5458.00 | Avg Loss: 13.8918 | Epsilon: 0.532
Episode 127/200 | Reward: -5133.00 | Avg Loss: 14.0327 | Epsilon: 0.529
Episode 128/200 | Reward: -4784.00 | Avg Loss: 13.8838 | Epsilon: 0.526
Episode 129/200 | Reward: -4953.00 | Avg Loss: 13.8542 | Epsilon: 0.524
Episode 130/200 | Reward: -5252.00 | Avg Loss: 14.0083 | Epsilon: 0.521
Episode 131/200 | Reward: -5234.00 | Avg Loss: 14.9068 | Epsilon: 0.519
Episode 132/200 | Reward: -5134.00 | Avg Loss: 14.5411 | Epsilon: 0.516
Episode 133/200 | Reward: -5205.00 | Avg Loss: 14.6561 | Epsilon: 0.513
Episode 134/200 | Reward: -5255.00 | Avg Loss: 14.5802 | Epsilon: 0.511
Episode 135/200 | Reward: -5293.00 | Avg Loss: 14.5713 | Epsilon: 0.508
Episode 136/200 | Reward: -5393.00 | Avg Loss: 14.2523 | Epsilon: 0.506
Episode 137/200 | Reward: -5734.00 | Avg Loss: 14.4893 | Epsilon: 0.503
Episode 138/200 | Reward: -5510.00 | Avg Loss: 14.4728 | Epsilon: 0.501
Episode 139/200 | Reward: -5853.00 | Avg Loss: 14.7119 | Epsilon: 0.498
Episode 140/200 | Reward: -4769.00 | Avg Loss: 14.4215 | Epsilon: 0.496
Episode 141/200 | Reward: -5050.00 | Avg Loss: 16.1790 | Epsilon: 0.493
Episode 142/200 | Reward: -5143.00 | Avg Loss: 15.6243 | Epsilon: 0.491
Episode 143/200 | Reward: -5076.00 | Avg Loss: 15.3104 | Epsilon: 0.488
Episode 144/200 | Reward: -5521.00 | Avg Loss: 15.5341 | Epsilon: 0.486
Episode 145/200 | Reward: -5869.00 | Avg Loss: 15.4068 | Epsilon: 0.483
Episode 146/200 | Reward: -5902.00 | Avg Loss: 15.3754 | Epsilon: 0.481
Episode 147/200 | Reward: -5694.00 | Avg Loss: 15.2613 | Epsilon: 0.479
Episode 148/200 | Reward: -5138.00 | Avg Loss: 15.3868 | Epsilon: 0.476
Episode 149/200 | Reward: -5602.00 | Avg Loss: 15.4992 | Epsilon: 0.474
Episode 150/200 | Reward: -5318.00 | Avg Loss: 15.2757 | Epsilon: 0.471
Episode 151/200 | Reward: -5171.00 | Avg Loss: 16.5097 | Epsilon: 0.469
Episode 152/200 | Reward: -5552.00 | Avg Loss: 16.0008 | Epsilon: 0.467
Episode 153/200 | Reward: -4849.00 | Avg Loss: 15.9301 | Epsilon: 0.464
Episode 154/200 | Reward: -5546.00 | Avg Loss: 16.0568 | Epsilon: 0.462
Episode 155/200 | Reward: -4654.00 | Avg Loss: 16.0386 | Epsilon: 0.460
Episode 156/200 | Reward: -5165.00 | Avg Loss: 16.1840 | Epsilon: 0.458
Episode 157/200 | Reward: -4929.00 | Avg Loss: 15.8710 | Epsilon: 0.455
Episode 158/200 | Reward: -5430.00 | Avg Loss: 15.9428 | Epsilon: 0.453
Episode 159/200 | Reward: -4715.00 | Avg Loss: 15.9724 | Epsilon: 0.451
Episode 160/200 | Reward: -5602.00 | Avg Loss: 15.7570 | Epsilon: 0.448
Episode 161/200 | Reward: -5309.00 | Avg Loss: 16.6802 | Epsilon: 0.446
Episode 162/200 | Reward: -5198.00 | Avg Loss: 16.1380 | Epsilon: 0.444
Episode 163/200 | Reward: -5025.00 | Avg Loss: 16.2953 | Epsilon: 0.442
Episode 164/200 | Reward: -5443.00 | Avg Loss: 16.2232 | Epsilon: 0.440
Episode 165/200 | Reward: -5243.00 | Avg Loss: 16.1227 | Epsilon: 0.437
Episode 166/200 | Reward: -5280.00 | Avg Loss: 16.3854 | Epsilon: 0.435
Episode 167/200 | Reward: -5750.00 | Avg Loss: 15.9470 | Epsilon: 0.433
Episode 168/200 | Reward: -5248.00 | Avg Loss: 16.1077 | Epsilon: 0.431
Episode 169/200 | Reward: -4933.00 | Avg Loss: 16.2220 | Epsilon: 0.429
Episode 170/200 | Reward: -4867.00 | Avg Loss: 16.1041 | Epsilon: 0.427
Episode 171/200 | Reward: -4771.00 | Avg Loss: 16.9949 | Epsilon: 0.424
Episode 172/200 | Reward: -5629.00 | Avg Loss: 16.6150 | Epsilon: 0.422
Episode 173/200 | Reward: -5121.00 | Avg Loss: 16.6442 | Epsilon: 0.420
Episode 174/200 | Reward: -5779.00 | Avg Loss: 16.6243 | Epsilon: 0.418
Episode 175/200 | Reward: -4938.00 | Avg Loss: 16.3788 | Epsilon: 0.416
Episode 176/200 | Reward: -5148.00 | Avg Loss: 16.5780 | Epsilon: 0.414
Episode 177/200 | Reward: -5119.00 | Avg Loss: 16.4361 | Epsilon: 0.412
Episode 178/200 | Reward: -5316.00 | Avg Loss: 15.9490 | Epsilon: 0.410
Episode 179/200 | Reward: -5545.00 | Avg Loss: 16.1680 | Epsilon: 0.408
Episode 180/200 | Reward: -5271.00 | Avg Loss: 16.3469 | Epsilon: 0.406
Episode 181/200 | Reward: -4999.00 | Avg Loss: 17.1864 | Epsilon: 0.404
Episode 182/200 | Reward: -4836.00 | Avg Loss: 16.6068 | Epsilon: 0.402
Episode 183/200 | Reward: -4607.00 | Avg Loss: 16.7733 | Epsilon: 0.400
Episode 184/200 | Reward: -5207.00 | Avg Loss: 16.4422 | Epsilon: 0.398
Episode 185/200 | Reward: -5128.00 | Avg Loss: 17.1081 | Epsilon: 0.396
Episode 186/200 | Reward: -5382.00 | Avg Loss: 16.8184 | Epsilon: 0.394
Episode 187/200 | Reward: -4702.00 | Avg Loss: 16.4920 | Epsilon: 0.392
Episode 188/200 | Reward: -5158.00 | Avg Loss: 16.9525 | Epsilon: 0.390
Episode 189/200 | Reward: -5128.00 | Avg Loss: 16.9189 | Epsilon: 0.388
Episode 190/200 | Reward: -5145.00 | Avg Loss: 16.8808 | Epsilon: 0.386
Episode 191/200 | Reward: -5102.00 | Avg Loss: 17.8662 | Epsilon: 0.384
Episode 192/200 | Reward: -5352.00 | Avg Loss: 16.8868 | Epsilon: 0.382
Episode 193/200 | Reward: -5099.00 | Avg Loss: 16.7857 | Epsilon: 0.380
Episode 194/200 | Reward: -5061.00 | Avg Loss: 17.2608 | Epsilon: 0.378
Episode 195/200 | Reward: -5038.00 | Avg Loss: 17.1388 | Epsilon: 0.376
Episode 196/200 | Reward: -5159.00 | Avg Loss: 16.9931 | Epsilon: 0.374
Episode 197/200 | Reward: -4827.00 | Avg Loss: 16.6686 | Epsilon: 0.373
Episode 198/200 | Reward: -5595.00 | Avg Loss: 16.7331 | Epsilon: 0.371
Episode 199/200 | Reward: -5020.00 | Avg Loss: 16.6694 | Epsilon: 0.369
Episode 200/200 | Reward: -4889.00 | Avg Loss: 16.4148 | Epsilon: 0.367

Model saved to E:\Projects\FedLearning-Robotics\models\stage4_unbalanced_flows\dqn_traffic_model.pth

Training plot saved to E:\Projects\FedLearning-Robotics\results\stage4_unbalanced_flows\training_progress.png
