Simulator Started for experiment: stage5_conflicting_turns on cpu
Episode 71/200 | Reward: -6390.00 | Avg Loss: 14.9034 | Epsilon: 0.701
Episode 72/200 | Reward: -6631.00 | Avg Loss: 14.0223 | Epsilon: 0.697
Episode 73/200 | Reward: -7232.00 | Avg Loss: 13.8365 | Epsilon: 0.694
Episode 74/200 | Reward: -5980.00 | Avg Loss: 13.6576 | Epsilon: 0.690
Episode 75/200 | Reward: -6460.00 | Avg Loss: 13.7073 | Epsilon: 0.687
Episode 76/200 | Reward: -6393.00 | Avg Loss: 13.6131 | Epsilon: 0.683
Episode 77/200 | Reward: -7888.00 | Avg Loss: 13.5199 | Epsilon: 0.680
Episode 78/200 | Reward: -7026.00 | Avg Loss: 13.4757 | Epsilon: 0.676
Episode 79/200 | Reward: -6545.00 | Avg Loss: 13.4310 | Epsilon: 0.673
Episode 80/200 | Reward: -6246.00 | Avg Loss: 13.5405 | Epsilon: 0.670
Episode 81/200 | Reward: -5743.00 | Avg Loss: 14.8826 | Epsilon: 0.666
Episode 82/200 | Reward: -7242.00 | Avg Loss: 13.8963 | Epsilon: 0.663
Episode 83/200 | Reward: -6809.00 | Avg Loss: 13.6302 | Epsilon: 0.660
Episode 84/200 | Reward: -6964.00 | Avg Loss: 13.7079 | Epsilon: 0.656
Episode 85/200 | Reward: -6893.00 | Avg Loss: 13.7181 | Epsilon: 0.653
Episode 86/200 | Reward: -6632.00 | Avg Loss: 13.2994 | Epsilon: 0.650
Episode 87/200 | Reward: -6445.00 | Avg Loss: 13.4475 | Epsilon: 0.647
Episode 88/200 | Reward: -5943.00 | Avg Loss: 13.4543 | Epsilon: 0.643
Episode 89/200 | Reward: -7666.00 | Avg Loss: 13.3740 | Epsilon: 0.640
Episode 90/200 | Reward: -7293.00 | Avg Loss: 13.2849 | Epsilon: 0.637
Episode 91/200 | Reward: -7055.00 | Avg Loss: 14.5749 | Epsilon: 0.634
Episode 92/200 | Reward: -6308.00 | Avg Loss: 13.8045 | Epsilon: 0.631
Episode 93/200 | Reward: -6210.00 | Avg Loss: 13.7476 | Epsilon: 0.627
Episode 94/200 | Reward: -6363.00 | Avg Loss: 13.5756 | Epsilon: 0.624
Episode 95/200 | Reward: -6892.00 | Avg Loss: 13.6748 | Epsilon: 0.621
Episode 96/200 | Reward: -6861.00 | Avg Loss: 13.6549 | Epsilon: 0.618
Episode 97/200 | Reward: -6434.00 | Avg Loss: 13.2022 | Epsilon: 0.615
Episode 98/200 | Reward: -6606.00 | Avg Loss: 13.7928 | Epsilon: 0.612
Episode 99/200 | Reward: -6407.00 | Avg Loss: 13.1357 | Epsilon: 0.609
Episode 100/200 | Reward: -6511.00 | Avg Loss: 12.9406 | Epsilon: 0.606
Episode 101/200 | Reward: -6632.00 | Avg Loss: 14.8989 | Epsilon: 0.603
Episode 102/200 | Reward: -6508.00 | Avg Loss: 13.7283 | Epsilon: 0.600
Episode 103/200 | Reward: -6815.00 | Avg Loss: 13.7087 | Epsilon: 0.597
Episode 104/200 | Reward: -6397.00 | Avg Loss: 13.5056 | Epsilon: 0.594
Episode 105/200 | Reward: -6841.00 | Avg Loss: 13.5272 | Epsilon: 0.591
Episode 106/200 | Reward: -6769.00 | Avg Loss: 13.7912 | Epsilon: 0.588
Episode 107/200 | Reward: -7088.00 | Avg Loss: 13.5486 | Epsilon: 0.585
Episode 108/200 | Reward: -7101.00 | Avg Loss: 13.4453 | Epsilon: 0.582
