Simulator Started for experiment: stage2_rush_hour on cpu
Episode 1/200 | Reward: -115.55 | Loss: 0.0015 | Eps: 0.995
Episode 2/200 | Reward: -66.79 | Loss: 0.0005 | Eps: 0.990
Episode 3/200 | Reward: -91.62 | Loss: 0.0005 | Eps: 0.985
Episode 4/200 | Reward: -103.84 | Loss: 0.0005 | Eps: 0.980
Episode 5/200 | Reward: -75.40 | Loss: 0.0005 | Eps: 0.975
Episode 6/200 | Reward: -101.56 | Loss: 0.0005 | Eps: 0.970
Episode 7/200 | Reward: -100.33 | Loss: 0.0005 | Eps: 0.966
Episode 8/200 | Reward: -130.01 | Loss: 0.0006 | Eps: 0.961
Episode 9/200 | Reward: -111.39 | Loss: 0.0006 | Eps: 0.956
Episode 10/200 | Reward: -91.32 | Loss: 0.0006 | Eps: 0.951
Episode 11/200 | Reward: -143.51 | Loss: 0.0026 | Eps: 0.946
Episode 12/200 | Reward: -83.74 | Loss: 0.0022 | Eps: 0.942
Episode 13/200 | Reward: -106.99 | Loss: 0.0022 | Eps: 0.937
Episode 14/200 | Reward: -114.24 | Loss: 0.0023 | Eps: 0.932
Episode 15/200 | Reward: -113.12 | Loss: 0.0023 | Eps: 0.928
Episode 16/200 | Reward: -138.24 | Loss: 0.0023 | Eps: 0.923
Episode 17/200 | Reward: -185.94 | Loss: 0.0026 | Eps: 0.918
Episode 18/200 | Reward: -84.46 | Loss: 0.0026 | Eps: 0.914
Episode 19/200 | Reward: -78.73 | Loss: 0.0024 | Eps: 0.909
Episode 20/200 | Reward: -69.74 | Loss: 0.0024 | Eps: 0.905
Episode 21/200 | Reward: -90.22 | Loss: 0.0062 | Eps: 0.900
Episode 22/200 | Reward: -119.20 | Loss: 0.0054 | Eps: 0.896
Episode 23/200 | Reward: -128.02 | Loss: 0.0053 | Eps: 0.891
Episode 24/200 | Reward: -84.02 | Loss: 0.0052 | Eps: 0.887
Episode 25/200 | Reward: -110.63 | Loss: 0.0051 | Eps: 0.882
Episode 26/200 | Reward: -134.27 | Loss: 0.0051 | Eps: 0.878
Episode 27/200 | Reward: -215.95 | Loss: 0.0051 | Eps: 0.873
Episode 28/200 | Reward: -151.30 | Loss: 0.0052 | Eps: 0.869
Episode 29/200 | Reward: -77.43 | Loss: 0.0055 | Eps: 0.865
Episode 30/200 | Reward: -94.65 | Loss: 0.0054 | Eps: 0.860
Episode 31/200 | Reward: -134.92 | Loss: 0.0111 | Eps: 0.856
Episode 32/200 | Reward: -115.95 | Loss: 0.0109 | Eps: 0.852
Episode 33/200 | Reward: -100.21 | Loss: 0.0105 | Eps: 0.848
Episode 34/200 | Reward: -127.83 | Loss: 0.0103 | Eps: 0.843
Episode 35/200 | Reward: -120.13 | Loss: 0.0107 | Eps: 0.839
Episode 36/200 | Reward: -119.57 | Loss: 0.0103 | Eps: 0.835
Episode 37/200 | Reward: -101.07 | Loss: 0.0099 | Eps: 0.831
Episode 38/200 | Reward: -181.29 | Loss: 0.0100 | Eps: 0.827
Episode 39/200 | Reward: -85.44 | Loss: 0.0101 | Eps: 0.822
Episode 40/200 | Reward: -100.41 | Loss: 0.0100 | Eps: 0.818
Episode 41/200 | Reward: -95.43 | Loss: 0.0155 | Eps: 0.814
Episode 42/200 | Reward: -114.12 | Loss: 0.0140 | Eps: 0.810
Episode 43/200 | Reward: -161.25 | Loss: 0.0140 | Eps: 0.806
Episode 44/200 | Reward: -98.85 | Loss: 0.0145 | Eps: 0.802
Episode 45/200 | Reward: -107.51 | Loss: 0.0147 | Eps: 0.798
Episode 46/200 | Reward: -107.04 | Loss: 0.0139 | Eps: 0.794
Episode 47/200 | Reward: -133.84 | Loss: 0.0140 | Eps: 0.790
Episode 48/200 | Reward: -109.95 | Loss: 0.0139 | Eps: 0.786
Episode 49/200 | Reward: -113.96 | Loss: 0.0131 | Eps: 0.782
Episode 50/200 | Reward: -66.29 | Loss: 0.0134 | Eps: 0.778
Episode 51/200 | Reward: -92.71 | Loss: 0.0186 | Eps: 0.774
Episode 52/200 | Reward: -98.61 | Loss: 0.0183 | Eps: 0.771
Episode 53/200 | Reward: -87.86 | Loss: 0.0175 | Eps: 0.767
Episode 54/200 | Reward: -166.26 | Loss: 0.0177 | Eps: 0.763
Episode 55/200 | Reward: -101.51 | Loss: 0.0181 | Eps: 0.759
Episode 56/200 | Reward: -110.67 | Loss: 0.0179 | Eps: 0.755
Episode 57/200 | Reward: -133.11 | Loss: 0.0177 | Eps: 0.751
Episode 58/200 | Reward: -69.91 | Loss: 0.0176 | Eps: 0.748
Episode 59/200 | Reward: -103.20 | Loss: 0.0171 | Eps: 0.744
Episode 60/200 | Reward: -99.56 | Loss: 0.0170 | Eps: 0.740
Episode 61/200 | Reward: -81.91 | Loss: 0.0237 | Eps: 0.737
Episode 62/200 | Reward: -97.10 | Loss: 0.0231 | Eps: 0.733
Episode 63/200 | Reward: -132.93 | Loss: 0.0227 | Eps: 0.729
Episode 64/200 | Reward: -104.88 | Loss: 0.0226 | Eps: 0.726
