Simulator Started for experiment: stage2_rush_hour on cpu
Episode 82/100 | Reward: -0.18 | Loss: 0.0003 | Eps: 0.663
Episode 83/100 | Reward: -0.05 | Loss: 0.0003 | Eps: 0.660
Episode 84/100 | Reward: -0.23 | Loss: 0.0003 | Eps: 0.656
Episode 85/100 | Reward: -0.25 | Loss: 0.0003 | Eps: 0.653
Episode 86/100 | Reward: -0.25 | Loss: 0.0003 | Eps: 0.650
Episode 87/100 | Reward: -0.56 | Loss: 0.0003 | Eps: 0.647
Episode 88/100 | Reward: -0.62 | Loss: 0.0003 | Eps: 0.643
Episode 89/100 | Reward: -0.14 | Loss: 0.0003 | Eps: 0.640
Episode 90/100 | Reward: -0.22 | Loss: 0.0003 | Eps: 0.637
Episode 91/100 | Reward: -0.13 | Loss: 0.0003 | Eps: 0.634
Episode 92/100 | Reward: -0.04 | Loss: 0.0003 | Eps: 0.631
Episode 93/100 | Reward: -0.73 | Loss: 0.0003 | Eps: 0.627
Episode 94/100 | Reward: -0.22 | Loss: 0.0003 | Eps: 0.624
Episode 95/100 | Reward: -0.35 | Loss: 0.0003 | Eps: 0.621
Episode 96/100 | Reward: -0.03 | Loss: 0.0003 | Eps: 0.618
Episode 97/100 | Reward: -0.35 | Loss: 0.0003 | Eps: 0.615
Episode 98/100 | Reward: -0.26 | Loss: 0.0003 | Eps: 0.612
Episode 99/100 | Reward: -0.38 | Loss: 0.0003 | Eps: 0.609
Episode 100/100 | Reward: -0.43 | Loss: 0.0003 | Eps: 0.606
